Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1042_1x18650,1,3.7V - 4.2V,C2988620
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C26, C29, C3, C31, C36, C37, C38, C4, C5, C6, C7, C8, C9",0402,30,100nF,C1525
"C25, C34, C35, C40",0603,4,1µF,C1848
"C27, C28, C39",0603,3,22µF,C2762594
C30,0603,1,4.7µF,C1705
"C32, C33",0603,2,10µF,C96446
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,WS2812B,C2761795
D25,0805,1,LED,C2297
D26,D_SOD-323F,1,D_Schottky,C50704
D27,SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL,1,SP0503BAHT,C3040626
L1,L_Sunlord_MWSA0402S,1,4.7µH,C2921168
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,C5656610
Q2,SOT-23,1,Q_PMOS_GSD,C88052
R1,0603,1,100Ω,C105882
"R10, R14",0603,2,1kΩ,C21190
"R11, R12, R2, R8",0603,4,10kΩ,C98220
"R15, R9",0603,2,100kΩ,C14675
R16,0603,1,22.1kΩ,C25961
R17,0603,1,47.5kΩ,C23061
R3,0603,1,1Ω,C22936
R4,0603,1,1.2kΩ,C22765
R5,0603,1,5.1kΩ,C14677
R6,0603,1,DNP,
R7,0603,1,73.2kΩ,C163420
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,TS-1187A-B-A-B,C318884
"TOUCH_1, TOUCH_2, TOUCH_3",TestPoint_Pad_D12.0mm,3,TestPoint,
TOUCH_4,Touch_Pad_StopSign_6mm,1,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U2,SOP8-PP_TPW,1,TP4056,C382139
U3,SOT-23-5,1,AP2112K-3.3,C51118
U4,SOT-23-6,1,MT3608,C84817
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,C969151
U6,SOT-23-6,1,SN74LVC1T45DBV,C7843
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,~,C165948
